id,geometry_type,geometry_coordinates,from,to,startTime,endTime,category,roadNumbers,length,delay
05c26537ac939a379b6902ba85790ba0,LineString,"((-73.9786948855, 40.6898470425), (-73.9786573346, 40.6897571746), (-73.9786010082, 40.6897129397), (-73.9785849149, 40.6896056572), (-73.9784414167, 40.6886441116), (-73.9783891137, 40.6882618792), (-73.978354245, 40.6878756404))",Myrtle Ave (Navy St),Flatbush Ave (Ashland Pl),2024-03-17 11:02:30+00:00,2024-03-17 11:26:00+00:00,6,(),222.7059627078,166.0
4099ee021ee4c7bb946b83a7c5f06ff4,LineString,"((-74.0086068804, 40.7114079625), (-74.008447289, 40.7112524281), (-74.0081871147, 40.7110807554), (-74.0077619846, 40.7108219112))",Broadway / Park Row,Theatre Aly,2024-03-17 11:02:30+00:00,2024-03-17 11:26:00+00:00,6,(),96.9446185133,66.0
d82120e71351c73069979c3734b66276,LineString,"((-73.9483550782, 40.769637395), (-73.9484355445, 40.7695756928), (-73.9484798009, 40.7695287813), (-73.9486005003, 40.7693987113), (-73.948813736, 40.769165359), (-73.949032336, 40.768917215), (-73.949147671, 40.7686691335))",FDR Dr / E 78th St,FDR Dr S,2024-03-17 11:02:00+00:00,2024-03-17 11:26:00+00:00,6,(),127.7021358094,80.0
78200e03025fb135e936cc7ac4db776c,LineString,"((-74.0254618819, 40.9164454101), (-74.0254618819, 40.916332793), (-74.0254578586, 40.9162791447), (-74.0254605408, 40.9162375941), (-74.0254645641, 40.9162053543), (-74.0254833396, 40.9161664639), (-74.0255544181, 40.9160833626))",Roemer Ave / New Bridge Rd,New Bridge Rd,2024-03-17 11:02:00+00:00,2024-03-17 11:26:00+00:00,6,(),42.3297331656,76.0
bc9f368fe0481fa502f47815de458b26,LineString,"((-73.8663116689, 40.7688354523), (-73.866146713, 40.7685671837), (-73.865607589, 40.7680938069), (-73.864978611, 40.7675640552), (-73.8644461925, 40.7670893382), (-73.864029109, 40.7668921627))",Grand Central Pkwy E,Grand Central Pkwy E,2024-03-17 11:02:00+00:00,2024-03-17 11:26:00+00:00,6,(),292.3026177783,249.0
12a2bc06d7c209eb8599fcd16a7dd390,LineString,"((-73.9664264615, 40.6959664831), (-73.9664479191, 40.6960764879), (-73.9666692014, 40.6972311783), (-73.9667751486, 40.6976898079))",Brooklyn Queens Expy / Park Ave,Flushing Ave,2024-03-17 11:02:00+00:00,2024-03-17 11:26:00+00:00,6,(),193.8824458686,101.0
fe2af8b73860589f423e93a44303455d,LineString,"((-73.9049837584, 40.8180848125), (-73.9049770529, 40.8181491973), (-73.9049623008, 40.8182215746), (-73.9049435253, 40.8182806308), (-73.9049167032, 40.818353008), (-73.904798686, 40.8186427061), (-73.9045505817, 40.8192354826), (-73.9041106994, 40.8202976464), (-73.9038143153, 40.8210915463))",Westchester Ave,E 161st St,2024-03-17 11:01:30+00:00,2024-03-17 11:26:00+00:00,6,(),348.792511341,324.0
65a968b3deae2f33f37fe39d00a3d12b,LineString,"((-73.932145148, 40.7522834868), (-73.9312358792, 40.7533685007))",39th Ave,31st St / 38th Ave,2024-03-17 11:01:00+00:00,2024-03-17 11:26:00+00:00,6,(),142.9061166332,63.0
9ee6f4cb965937ee545b13c33dd9ebc3,LineString,"((-73.981806248, 40.7728708406), (-73.980780303, 40.7724443405), (-73.9802706833, 40.7722324542), (-73.9798790808, 40.7720701429), (-73.97958672, 40.7719481395), (-73.9792045052, 40.7717885571))",Broadway/Columbus Ave (W 65th St),65th St Transverse Rd (65th St),2024-03-17 11:01:00+00:00,2024-03-17 11:26:00+00:00,6,(),249.9668722146,185.0
d35344daba32c79842e030d24e79e08b,LineString,"((-74.1122004981, 40.6632744177), (-74.112711459, 40.6626682326), (-74.1132304664, 40.662070117))",E 25th St,E 22nd St,2024-03-17 11:01:00+00:00,2024-03-17 11:26:00+00:00,6,(),159.6275646221,210.0
