category,coordinates,startTime,endTime,from,to,type
Jam,"(-118.3424601653, 33.9454244701)",2024-03-16 06:34:00+00:00,2024-03-16 07:44:00+00:00,S Prairie Ave/S Avenue of Champions (Century Blvd),Crenshaw Blvd (Century Blvd),Feature
Jam,"(-118.3264299432, 33.9392043802)",2024-03-16 06:36:00+00:00,2024-03-16 07:06:00+00:00,W Imperial Hwy (Crenshaw Blvd),W Arbor Vitae St (Crenshaw Blvd),Feature
Jam,"(-118.3253932694, 33.9490963982)",2024-03-16 06:45:30+00:00,2024-03-16 07:06:00+00:00,W Hardy St,W Century Blvd,Feature
Jam,"(-118.3242895404, 33.9455411477)",2024-03-16 06:15:30+00:00,2024-03-16 08:13:00+00:00,S Van Ness Ave (Century Blvd),S Prairie Ave/S Avenue of Champions (Century Blvd),Feature
Road Closed,"(-118.3179085651, 34.2623810714)",2024-03-15 04:43:00+00:00,,Oswego St,Hillrose St,Feature
Road Closed,"(-118.3179139295, 34.2633426549)",2024-03-16 00:38:51+00:00,,Hillrose St,Oswego St,Feature
Road Closed,"(-118.3116603592, 34.1830306422)",2024-03-16 04:56:00+00:00,,E Magnolia Blvd (N San Fernando Blvd),E Olive Ave (N San Fernando Blvd),Feature
Road Works,"(-118.3090720275, 34.0600995831)",2024-03-16 00:10:30+00:00,,W Olympic Blvd (Western Ave/CA-213),Wilshire Blvd (Western Ave/CA-213),Feature
Road Closed,"(-118.3090532521, 33.8267219609)",2024-03-14 09:10:36+00:00,2024-03-22 06:59:00+00:00,S Western Ave,S Western Ave,Feature
Road Closed,"(-118.3089057306, 33.8267836535)",2024-03-14 09:10:36+00:00,2024-03-22 06:59:00+00:00,S Western Ave,S Western Ave,Feature
Road Closed,"(-118.3086321452, 34.0576454017)",2024-03-15 07:00:00+00:00,2024-03-18 06:59:59+00:00,Los Angeles,S Western Ave,Feature
Jam,"(-118.3079723218, 34.079453057)",2024-03-16 06:44:00+00:00,2024-03-16 07:06:00+00:00,Maplewood Ave,Beverly Blvd,Feature
Jam,"(-118.3123094538, 34.0956067037)",2024-03-16 06:46:00+00:00,2024-03-16 07:06:00+00:00,Sunset Blvd (US-101),CA-2/Santa Monica Blvd (US-101),Feature
Jam,"(-118.3001416126, 33.9005658293)",2024-03-16 06:42:30+00:00,2024-03-16 07:06:00+00:00,Kabana Ln,S Normandie Ave,Feature
Accident,"(-118.3003347317, 33.9239681045)",2024-03-16 06:04:00+00:00,,S Normandie Ave (W 120th St),S Vermont Ave (W 120th St),Feature
Jam,"(-118.3002287844, 34.0227806759)",2024-03-16 06:44:00+00:00,2024-03-16 07:06:00+00:00,S Normandie Ave,S Budlong Ave,Feature
Dangerous Conditions,"(-118.2959171334, 33.9285426465)",2024-03-16 06:18:00+00:00,,S Hoover St,exit [5],Feature
Road Closed,"(-118.2929506102, 33.936413533)",2024-03-14 05:27:30+00:00,2024-03-18 06:59:00+00:00,S Budlong Ave,S Vermont Ave,Feature
Jam,"(-118.2878959873, 34.0666683452)",2024-03-16 06:46:00+00:00,2024-03-16 07:06:00+00:00,W 4th St,W 3rd St,Feature
Jam,"(-118.2889903286, 34.0335766056)",2024-03-16 06:20:00+00:00,2024-03-16 07:09:00+00:00,Ellendale Pl,Magnolia Ave,Feature
Jam,"(-118.2813715139, 33.9764763963)",2024-03-16 06:45:30+00:00,2024-03-16 07:06:00+00:00,S Flower St,S Figueroa St,Feature
Jam,"(-118.2812494734, 33.9668995506)",2024-03-16 06:09:30+00:00,2024-03-16 07:06:00+00:00,W 79th St / S Flower St,S Figueroa St,Feature
Road Closed,"(-118.2817725042, 34.0247494466)",2024-03-15 20:05:00+00:00,,Royal St,S Figueroa St,Feature
Road Closed,"(-118.2799714008, 34.0239554831)",2024-03-16 05:05:00+00:00,,S Figueroa St,Shrine Pl,Feature
Jam,"(-118.2796978155, 34.033281532)",2024-03-16 06:31:00+00:00,2024-03-16 07:06:00+00:00,W 23rd St,St James Park,Feature
Road Works,"(-118.27585421, 34.0875600804)",2024-03-15 23:49:19+00:00,,Griffith Park Blvd (W Sunset Blvd),Ellett Pl/Silver Lake Blvd (W Sunset Blvd),Feature
Accident,"(-118.2747545043, 34.0753734619)",2024-03-16 06:23:00+00:00,,Benton Way/Rampart Blvd (US-101),Vermont Ave (US-101),Feature
