category,coordinates,startTime,endTime,from,to,type
Road Closed,"(-118.4043709138, 33.8962595237)",2024-02-20 19:04:00+00:00,,Laurel Ave,Pacific Ave,Feature
Road Closed,"(-118.4034884671, 33.8962582018)",2024-02-19 22:32:00+00:00,,Pacific Ave,Laurel Ave,Feature
Road Closed,"(-118.4026596645, 33.9194512562)",2023-09-22 17:39:30+00:00,,E Grand Ave,E El Segundo Blvd,Feature
Road Closed,"(-118.4021259049, 33.9437078038)",2024-03-08 17:39:30+00:00,,Los Angeles,East Way,Feature
Jam,"(-118.4013856152, 34.0711181493)",2024-03-11 05:44:00+00:00,2024-03-11 06:11:30+00:00,Brighton Way,Carmelita Ave,Feature
Jam,"(-118.4079758028, 33.9434798673)",2024-03-11 05:31:00+00:00,2024-03-11 06:12:30+00:00,Center Way (World Way (Upper Level)),CA-1/S Sepulveda Blvd (World Way (Upper Level)),Feature
Jam,"(-118.4013735453, 33.9454392113)",2024-03-11 04:55:00+00:00,2024-03-11 06:15:30+00:00,World Way,World Way,Feature
Road Closed,"(-118.4020803073, 34.0718356451)",2024-03-10 22:22:30+00:00,,N Beverly Dr (S Santa Monica Blvd),N Rexford Dr (S Santa Monica Blvd),Feature
Jam,"(-118.4060566822, 34.0700264803)",2024-03-11 05:15:30+00:00,2024-03-11 06:10:30+00:00,Wilshire Blvd (Santa Monica Blvd/CA-2),N Doheny Dr/Melrose Ave (Santa Monica Blvd/CA-2),Feature
Road Works,"(-118.4005058507, 34.0719402071)",2024-03-11 04:36:30+00:00,,Santa Monica Blvd,Santa Monica Blvd,Feature
Jam,"(-118.4027401308, 34.1195668408)",2024-03-11 05:46:30+00:00,2024-03-11 06:08:30+00:00,N Beverly Dr (Coldwater Canyon Dr),Mulholland Dr (Coldwater Canyon Dr),Feature
Jam,"(-118.3995818296, 33.948404356)",2024-03-11 05:18:30+00:00,2024-03-11 06:09:30+00:00,CA-1/W 96th St/S Sepulveda Blvd (Sky Way),World Way (Sky Way),Feature
Jam,"(-118.4020803073, 34.0718356451)",2024-03-11 05:41:30+00:00,2024-03-11 06:08:30+00:00,Santa Monica Blvd,Dayton Way,Feature
Road Closed,"(-118.4005058507, 34.0719402071)",2024-03-10 22:22:30+00:00,,N Beverly Dr (S Santa Monica Blvd),N Rexford Dr (S Santa Monica Blvd),Feature
Jam,"(-118.3993015388, 34.0720448384)",2024-03-11 04:59:30+00:00,2024-03-11 06:08:30+00:00,N Rexford Dr (S Santa Monica Blvd),N Beverly Dr (S Santa Monica Blvd),Feature
Jam,"(-118.3986604908, 34.0700666813)",2024-03-11 05:15:00+00:00,2024-03-11 06:08:30+00:00,Dayton Way,Carmelita Ave,Feature
Road Closed,"(-118.3985505203, 34.0733980209)",2024-03-11 00:48:00+00:00,,Santa Monica Blvd,Burton Way,Feature
Jam,"(-118.3977471987, 33.9454807924)",2024-03-11 05:44:30+00:00,2024-03-11 06:10:30+00:00,S Sepulveda Blvd,World Way,Feature
Jam,"(-118.3973877827, 33.9451763038)",2024-03-11 03:11:00+00:00,2024-03-11 06:21:30+00:00,CA-1/S Sepulveda Blvd (World Way (Upper Level)),West Way (World Way (Upper Level)),Feature
Road Closed,"(-118.3969465593, 34.0670773831)",2024-02-20 23:52:30+00:00,2024-03-12 06:59:00+00:00,Wilshire Blvd,Charleville Blvd,Feature
Jam,"(-118.3961459199, 33.9537057444)",2024-03-11 05:46:00+00:00,2024-03-11 06:08:30+00:00,Los Angeles,Westchester Pkwy,Feature
Road Closed,"(-118.3960547248, 33.8760115397)",2022-08-24 06:40:34+00:00,,Pacific Coast Hwy,Tennyson Pl,Feature
Jam,"(-118.3956497112, 33.9451427885)",2024-03-11 03:19:00+00:00,2024-03-11 06:08:30+00:00,W Century Blvd,World Way / W Century Blvd,Feature
Road Works,"(-118.3961164156, 33.9436085771)",2024-03-10 20:31:30+00:00,,S Sepulveda Blvd,W Century Blvd,Feature
Jam,"(-118.3961378733, 33.9412576283)",2024-03-11 03:17:30+00:00,2024-03-11 06:12:30+00:00,S Sepulveda Blvd,World Way,Feature
Jam,"(-118.3943850497, 33.9449805656)",2024-03-11 04:03:00+00:00,2024-03-11 06:08:30+00:00,Airport Blvd (Century Blvd),S Sepulveda Blvd (Century Blvd),Feature
Jam,"(-118.395543764, 33.9435965475)",2024-03-11 05:43:00+00:00,2024-03-11 06:09:30+00:00,S Sepulveda Blvd,S Sepulveda Blvd,Feature
Jam,"(-118.3960198561, 33.9445084972)",2024-03-11 05:39:30+00:00,2024-03-11 06:08:30+00:00,S Sepulveda Blvd,World Way,Feature
Road Closed,"(-118.3901136318, 33.9453895642)",2024-03-09 13:30:00+00:00,2024-03-12 06:59:00+00:00,W Century Blvd,W Century Blvd,Feature
Road Closed,"(-118.3875172535, 33.9490065645)",2023-09-30 06:33:30+00:00,,Airport Blvd (W 96th St),CA-1/S Sepulveda Blvd (W 96th St),Feature
Road Closed,"(-118.3901189962, 33.9488576989)",2023-09-30 06:39:30+00:00,,CA-1/S Sepulveda Blvd (W 96th St),Airport Blvd (W 96th St),Feature
Road Closed,"(-118.4001705745, 34.1235110813)",2024-02-05 17:13:00+00:00,,Coldwater Canyon Dr (Mulholland Dr),Laurel Pass Ave (Mulholland Dr),Feature
Road Closed,"(-118.3868735233, 34.1218681675)",2024-02-05 14:09:00+00:00,,Laurel Pass Ave (Mulholland Dr),Coldwater Canyon Dr (Mulholland Dr),Feature
Unknown,"(-118.3866321245, 34.1739674038)",2022-03-22 17:03:30+00:00,,Collins St,Oxnard St,Feature
Unknown,"(-118.3866522411, 34.1794243801)",2022-03-22 17:03:30+00:00,,Oxnard St,Collins St,Feature
Unknown,"(-118.3844769696, 34.1788866312)",2022-03-22 17:03:30+00:00,,San Fernando Valley,Collins St,Feature
Unknown,"(-118.3844689229, 34.1739834921)",2022-03-22 17:03:30+00:00,,Collins St,San Fernando Valley,Feature
Road Closed,"(-118.3840370873, 34.0848429697)",2024-03-10 19:49:30+00:00,,CA-2/Santa Monica Blvd (N San Vicente Blvd),Melrose Ave (N San Vicente Blvd),Feature
Road Closed,"(-118.3837702075, 34.0843253058)",2024-03-10 20:55:00+00:00,,Melrose Ave (N San Vicente Blvd),CA-2/Santa Monica Blvd (N San Vicente Blvd),Feature
Unknown,"(-118.3833933571, 34.1739768349)",2022-03-22 17:03:30+00:00,,Collins St,Colfax Ave,Feature
Unknown,"(-118.3877854744, 34.1776112058)",2022-03-22 17:03:30+00:00,,Colfax Ave,Collins St,Feature
Road Closed,"(-118.3833370307, 34.1445422351)",2023-09-24 03:01:30+00:00,,Beck Ave,Colfax Ave,Feature
Road Closed,"(-118.3846808175, 34.1445301646)",2023-08-03 14:29:00+00:00,,Colfax Ave,Beck Ave,Feature
Road Closed,"(-118.383327643, 34.1449754538)",2023-11-29 06:27:30+00:00,,Aqua Vista St,Chiquita St,Feature
Road Closed,"(-118.3833370307, 34.1445422351)",2023-11-29 06:31:30+00:00,,Chiquita St,Aqua Vista St,Feature
Jam,"(-118.3837688664, 34.0843199605)",2024-03-11 05:38:00+00:00,2024-03-11 06:08:30+00:00,CA-2/Santa Monica Blvd (N San Vicente Blvd),Melrose Ave (N San Vicente Blvd),Feature
Unknown,"(-118.3822413484, 34.1757631814)",2022-03-22 17:03:30+00:00,,Lankershim Blvd / Hatteras St,Collins St,Feature
Unknown,"(-118.3822306195, 34.1739687907)",2022-03-22 17:03:30+00:00,,Lankershim Blvd,Colfax Ave,Feature
Unknown,"(-118.3822306195, 34.1739687907)",2022-03-22 17:03:30+00:00,,Collins St,Lankershim Blvd / Hatteras St,Feature
Unknown,"(-118.3877814511, 34.1739633817)",2022-03-22 17:03:30+00:00,,Colfax Ave,Lankershim Blvd,Feature
Dangerous Conditions,"(-118.3809458414, 34.0366718296)",2024-03-11 05:36:00+00:00,,Fairfax Ave/Venice Blvd (I-10),La Cienega Blvd (I-10),Feature
Road Closed,"(-118.3784688214, 33.9455679181)",2023-09-27 21:22:30+00:00,,W Century Blvd (Aviation Blvd),Arbor Vitae St (Aviation Blvd),Feature
Jam,"(-118.3759502271, 34.1403888421)",2024-03-11 05:20:30+00:00,2024-03-11 06:08:30+00:00,Ventura Blvd,Ventura Blvd,Feature
Dangerous Conditions,"(-118.3716506461, 34.2232302146)",2024-03-11 05:36:00+00:00,,Penrose St (I-5),Sunland Blvd (I-5),Feature
Road Closed,"(-118.3762519756, 34.0365524988)",2024-03-11 04:36:30+00:00,,I-10 E,S Fairfax Ave / Electric Dr,Feature
Accident,"(-118.3682415584, 34.2745100315)",2024-03-11 05:43:00+00:00,,I-210/Foothill Fwy (Sylmar) (Foothill Blvd),Wheatland Ave (Foothill Blvd),Feature
Jam,"(-118.3648834327, 34.0531566951)",2024-03-11 05:35:30+00:00,2024-03-11 06:08:30+00:00,Packard St,W Pico Blvd,Feature
Unknown,"(-118.364848564, 34.1794270845)",2022-03-22 17:03:30+00:00,,Oxnard St,Victory Blvd,Feature
Unknown,"(-118.3648606339, 34.1866904855)",2022-03-22 17:03:30+00:00,,Victory Blvd,Oxnard St,Feature
Unknown,"(-118.3637971381, 34.184875942)",2022-03-22 17:03:30+00:00,,Cartwright Ave,Cleon Ave,Feature
Unknown,"(-118.3680873314, 34.1848746246)",2022-03-22 17:03:30+00:00,,Cleon Ave,Cartwright Ave,Feature
Unknown,"(-118.3670506576, 34.1866904855)",2022-03-22 17:03:30+00:00,,Victory Blvd,Cartwright Ave,Feature
Unknown,"(-118.363758246, 34.1812576936)",2022-03-22 17:03:30+00:00,,Cartwright Ave,Victory Blvd,Feature
Unknown,"(-118.3638065258, 34.1859958049)",2022-03-22 17:03:30+00:00,,Victory Blvd,Oxnard St,Feature
Unknown,"(-118.363758246, 34.1794243801)",2022-03-22 17:03:30+00:00,,Oxnard St,Victory Blvd,Feature
Road Closed,"(-118.365682731, 33.8049437627)",2024-02-07 00:16:30+00:00,,Paseo de Las Tortugas,Mesa St,Feature
Road Closed,"(-118.3602083424, 33.8053635319)",2024-02-06 20:08:30+00:00,,Mesa St,Paseo de Las Tortugas,Feature
Unknown,"(-118.3659952084, 34.0494753728)",2022-03-22 17:03:30+00:00,,S Fairfax Ave,S Dunsmuir Ave,Feature
Unknown,"(-118.3545663157, 34.0463640172)",2022-03-22 17:03:30+00:00,,S Dunsmuir Ave,S Fairfax Ave,Feature
Unknown,"(-118.3648834327, 34.0531566951)",2022-03-22 17:03:30+00:00,,S Fairfax Ave,W Pico Blvd / S Cochran Ave,Feature
Unknown,"(-118.3519994417, 34.0499273432)",2022-03-22 17:03:30+00:00,,S Cochran Ave,S Fairfax Ave,Feature
Road Closed,"(-118.34874324, 34.2611030301)",2024-03-10 01:47:30+00:00,,Mary Bell Ave,Johanna Ave,Feature
Road Closed,"(-118.3451678553, 34.0832578267)",2024-03-11 03:24:12+00:00,2024-03-14 06:59:00+00:00,Melrose Ave,Clinton St,Feature
Road Closed,"(-118.3451356688, 34.0622252513)",2024-03-07 23:15:30+00:00,,Wilshire Blvd,W 8th St,Feature
Road Closed,"(-118.3458021978, 34.0605381645)",2024-03-07 20:35:30+00:00,,W 8th St,Wilshire Blvd,Feature
Road Closed,"(-118.3443712393, 33.9445366587)",2024-02-14 12:42:30+00:00,,S Prairie Ave,S Freeman Ave,Feature
Road Closed,"(-118.3459497193, 33.944531235)",2024-02-27 09:24:30+00:00,,S Freeman Ave,S Prairie Ave,Feature
Accident,"(-118.3439259926, 33.9478894055)",2024-03-10 09:24:00+00:00,,W Century Blvd (S Avenue of Champions/S Prairie Ave),E Arbor Vitae St (S Avenue of Champions/S Prairie Ave),Feature
Road Closed,"(-118.3433345655, 34.1022022098)",2024-03-10 19:00:00+00:00,,Franklin Ave,N La Brea Ave / Hawthorn Ave,Feature
Road Closed,"(-118.3433010379, 34.1010019735)",2024-03-10 19:26:30+00:00,,N La Brea Ave / Hawthorn Ave,Franklin Ave,Feature
Road Closed,"(-118.3417547444, 34.1027400306)",2024-03-09 14:00:00+00:00,2024-03-11 13:00:00+00:00,Franklin Ave,Hollywood Blvd,Feature
Road Closed,"(-118.3417440155, 34.1015424394)",2024-03-09 14:00:00+00:00,2024-03-13 06:59:00+00:00,Hollywood Blvd,Franklin Ave,Feature
Road Closed,"(-118.3414114216, 34.1015424394)",2024-03-10 08:01:00+00:00,2024-03-11 13:00:00+00:00,Hollywood Blvd,W Sunset Blvd,Feature
Road Closed,"(-118.3414006928, 34.0992129354)",2024-03-10 08:01:00+00:00,2024-03-11 13:00:00+00:00,W Sunset Blvd,Hollywood Blvd,Feature
Road Closed,"(-118.3401735822, 34.1033086636)",2024-03-05 19:41:30+00:00,2024-03-16 15:00:00+00:00,Orchid Ave,N Orange Dr,Feature
Road Closed,"(-118.3417547444, 34.1027400306)",2024-03-05 19:41:30+00:00,2024-03-16 15:00:00+00:00,N Orange Dr,Orchid Ave,Feature
Road Closed,"(-118.3394668201, 34.1015384138)",2024-03-05 19:47:00+00:00,2024-03-13 13:00:00+00:00,Hollywood Blvd,Hawthorn Ave,Feature
Road Closed,"(-118.339453409, 34.1008919643)",2024-03-05 19:47:00+00:00,2024-03-13 13:00:00+00:00,Hawthorn Ave,Hollywood Blvd,Feature
Road Closed,"(-118.3394520679, 34.1003408056)",2024-03-08 08:01:00+00:00,2024-03-11 13:00:00+00:00,N Highland Ave,N Orange Dr,Feature
Road Closed,"(-118.3414006928, 34.1003274101)",2024-03-08 08:01:00+00:00,2024-03-11 13:00:00+00:00,N Orange Dr,N Highland Ave,Feature
Road Closed,"(-118.339221398, 34.1030310451)",2024-03-10 06:00:00+00:00,2024-03-11 13:00:00+00:00,Los Angeles,N Highland Ave,Feature
Road Closed,"(-118.3387533525, 34.1030458283)",2024-03-10 06:00:00+00:00,2024-03-11 13:00:00+00:00,N Highland Ave,Los Angeles,Feature
Road Works,"(-118.3386916617, 34.1003514943)",2024-03-10 08:30:30+00:00,,N Highland Ave,N Orange Dr,Feature
Road Closed,"(-118.3384153942, 34.1041401254)",2024-03-10 09:24:30+00:00,2024-03-14 06:59:00+00:00,Franklin Ave (Highland Ave),W Sunset Blvd (Highland Ave),Feature
Jam,"(-118.3448647657, 34.1040261643)",2024-03-11 02:14:00+00:00,2024-03-11 06:10:30+00:00,N La Brea Ave,N Highland Ave,Feature
Road Closed,"(-118.338656793, 34.0980099498)",2024-03-10 09:08:30+00:00,2024-03-13 06:59:00+00:00,W Sunset Blvd (Highland Ave),Franklin Ave (Highland Ave),Feature
Road Closed,"(-118.3376710811, 33.9563826298)",2024-03-11 02:13:00+00:00,,Pincay Dr,S Stadium Dr,Feature
Road Closed,"(-118.337630848, 33.9556811914)",2024-03-11 02:17:00+00:00,,S Stadium Dr,Pincay Dr,Feature
Jam,"(-118.3373451928, 33.9075463034)",2024-03-11 05:32:30+00:00,2024-03-11 06:08:30+00:00,W 135th St,W 139th St,Feature
Jam,"(-118.3371145228, 34.1081433124)",2024-03-10 21:21:30+00:00,2024-03-11 06:11:30+00:00,Odin St (Highland Ave),Franklin Ave (Highland Ave),Feature
Road Closed,"(-118.3361408809, 34.1022237254)",2024-03-10 08:48:00+00:00,2024-03-13 06:59:00+00:00,Yucca St,Selma Ave,Feature
Road Closed,"(-118.3361314932, 34.1007351055)",2024-03-10 10:44:00+00:00,2024-03-13 06:59:00+00:00,Selma Ave,Yucca St,Feature
Jam,"(-118.3310299316, 34.1001155104)",2024-03-11 05:42:00+00:00,2024-03-11 06:08:30+00:00,Hollywood Blvd,W Sunset Blvd,Feature
Road Closed,"(-118.32954667, 34.10160546)",2024-02-29 05:03:30+00:00,2024-03-18 06:59:00+00:00,Vine St (Hollywood Blvd),N Gardner St (Hollywood Blvd),Feature
Road Closed,"(-118.3452241817, 34.1015974089)",2024-02-29 05:55:30+00:00,2024-03-18 06:59:00+00:00,N Gardner St (Hollywood Blvd),Vine St (Hollywood Blvd),Feature
Road Closed,"(-118.3287795583, 34.0670760639)",2024-03-10 03:18:30+00:00,,W 4th St,W 3rd St,Feature
Road Closed,"(-118.3287902871, 34.0689401436)",2024-03-10 03:54:30+00:00,,W 3rd St,W 4th St,Feature
Road Closed,"(-118.3226600984, 34.1640807888)",2024-03-01 00:45:02+00:00,,W Oak St,W Olive Ave,Feature
Road Works,"(-118.3179903725, 34.1040073558)",2024-01-12 06:50:00+00:00,,Franklin Ave (N Bronson Ave),Hollywood Blvd (N Bronson Ave),Feature
Road Closed,"(-118.3176899651, 33.9833522331)",2024-03-09 15:08:30+00:00,,W Gage Ave (S Van Ness Ave),W Slauson Ave (S Van Ness Ave),Feature
Road Closed,"(-118.3116603592, 34.1830306422)",2024-03-10 23:12:30+00:00,,E Magnolia Blvd (N San Fernando Blvd),E Olive Ave (N San Fernando Blvd),Feature
Road Closed,"(-118.314583967, 33.7852710838)",2023-11-20 20:44:30+00:00,,Appian Way / Eshelman Ave,Western Ave,Feature
Road Closed,"(-118.3095065454, 33.7851986329)",2023-11-20 18:40:30+00:00,,Western Ave,Appian Way / Eshelman Ave,Feature
Road Closed,"(-118.3102575639, 34.1820100346)",2024-03-08 15:16:30+00:00,,E Magnolia Blvd (N San Fernando Blvd),E Olive Ave (N San Fernando Blvd),Feature
Jam,"(-118.3024644056, 34.090806879)",2024-03-11 05:45:30+00:00,2024-03-11 06:08:30+00:00,Santa Monica Blvd,Fountain Ave,Feature
Road Closed,"(-118.3091015318, 34.1536698112)",2022-06-27 07:00:00+00:00,,Zoo Dr,Mount Hollywood Dr,Feature
Road Closed,"(-118.3001912335, 33.9891471047)",2024-02-15 14:20:00+00:00,,W Slauson Ave (S Normandie Ave),W Vernon Ave (S Normandie Ave),Feature
Unknown,"(-118.2980374196, 33.9968786144)",2020-09-12 07:00:00+00:00,,S Normandie Ave / W 51st St,W Vernon Ave,Feature
Unknown,"(-118.2980280319, 34.0036887345)",2020-09-12 07:00:00+00:00,,W Vernon Ave,S Normandie Ave / W 51st St,Feature
Unknown,"(-118.2963516513, 33.9996117477)",2020-09-12 07:00:00+00:00,,W 48th St,W 47th St,Feature
Unknown,"(-118.2963409224, 34.0006296924)",2020-09-12 07:00:00+00:00,,W 47th St,W 48th St,Feature
Road Closed,"(-118.2980266908, 33.8456086953)",2024-02-21 01:24:00+00:00,,Normandie Ave,Raymond Ave,Feature
Unknown,"(-118.2954343358, 33.9996104274)",2020-09-12 07:00:00+00:00,,W 48th St,W 47th St,Feature
Unknown,"(-118.2954289714, 34.000632333)",2020-09-12 07:00:00+00:00,,W 47th St,W 48th St,Feature
Road Closed,"(-118.2929653624, 33.9091555973)",2024-03-10 22:11:00+00:00,,W 135th St,W 134th Pl,Feature
Road Closed,"(-118.2919246653, 33.9364122117)",2024-02-15 00:02:09+00:00,,S Vermont Ave,S Budlong Ave,Feature
Road Closed,"(-118.2916014591, 33.960184647)",2023-02-08 02:26:30+00:00,,Los Angeles,W 85th St,Feature
Road Closed,"(-118.2901342908, 34.0154690092)",2024-03-11 05:24:30+00:00,,Exposition Park Dr,Exposition Blvd,Feature
Jam,"(-118.2856576839, 33.9891578769)",2024-03-11 05:42:00+00:00,2024-03-11 06:08:30+00:00,I-110/Harbor Fwy (Slauson Ave),S Vermont Ave (Slauson Ave),Feature
Accident,"(-118.2861270705, 34.0767373524)",2024-03-11 04:54:00+00:00,,N Virgil Ave (W Temple St),N Rampart Blvd (W Temple St),Feature
Accident,"(-118.2850890556, 33.8726011247)",2024-03-11 03:39:00+00:00,,Redondo Beach Blvd (I-110),CA-91 (I-110),Feature
Accident,"(-118.2746244171, 34.027611377)",2024-03-11 05:35:00+00:00,,I-110/I-10/Santa Monica Fwy (I-110),Adams Blvd (I-110),Feature
Unknown,"(-118.2728125849, 34.0111425992)",2022-03-22 17:03:30+00:00,,E Martin Luther King Jr Blvd,E 43rd St,Feature
Unknown,"(-118.2728072205, 34.0056842826)",2022-03-22 17:03:30+00:00,,E 43rd St,E Martin Luther King Jr Blvd,Feature
Unknown,"(-118.2704455355, 34.0081760289)",2022-03-22 17:03:30+00:00,,E 41st Pl,E Martin Luther King Jr Blvd,Feature
Unknown,"(-118.2704361478, 34.011146629)",2022-03-22 17:03:30+00:00,,E Martin Luther King Jr Blvd,E 41st Pl,Feature
Unknown,"(-118.2739981213, 34.0081948586)",2022-03-22 17:03:30+00:00,,S Main St / W 41st Pl,S San Pedro St,Feature
Unknown,"(-118.2699064115, 34.0081706787)",2022-03-22 17:03:30+00:00,,S San Pedro St,S Main St / W 41st Pl,Feature
Unknown,"(-118.2708304325, 34.0065586708)",2022-03-22 17:03:30+00:00,,San Pedro Pl,S San Pedro St,Feature
Unknown,"(-118.2696113685, 34.0065720811)",2022-03-22 17:03:30+00:00,,S San Pedro St,San Pedro Pl,Feature
Unknown,"(-118.2692532936, 34.0111506589)",2022-03-22 17:03:30+00:00,,E Martin Luther King Jr Blvd,S San Pedro St,Feature
Unknown,"(-118.2692532936, 34.0093119896)",2022-03-22 17:03:30+00:00,,S San Pedro St,E Martin Luther King Jr Blvd,Feature
Jam,"(-118.2660735348, 34.048269736)",2024-03-11 05:44:30+00:00,2024-03-11 06:08:30+00:00,5th St/6th St (CA-110),I-110/I-10/Santa Monica Fwy (CA-110),Feature
Road Closed,"(-118.265421758, 34.0437461536)",2024-03-10 09:41:29+00:00,2024-03-13 06:59:00+00:00,S Figueroa St (Chick Hearn Ct),CA-110/LA Live Way (Chick Hearn Ct),Feature
Road Closed,"(-118.2652205923, 34.0436616983)",2024-03-11 03:16:40+00:00,2024-03-17 06:59:00+00:00,S Figueroa St / W 11th St,Georgia St,Feature
Road Closed,"(-118.2680583695, 34.0441833611)",2024-03-10 09:41:29+00:00,2024-03-13 06:59:00+00:00,CA-110/LA Live Way (Chick Hearn Ct),S Figueroa St (Chick Hearn Ct),Feature
Road Works,"(-118.2651696304, 34.0714909229)",2024-02-29 03:27:00+00:00,,US-101 N,US-101 N,Feature
Jam,"(-118.2651669481, 33.9324613509)",2024-03-11 05:41:30+00:00,2024-03-11 06:08:30+00:00,Avalon Blvd,E Imperial Hwy,Feature
Accident,"(-118.2602732578, 34.2296232412)",2024-03-11 05:06:00+00:00,,Lowell Ave (I-210),Pennsylvania Ave (I-210),Feature
Road Closed,"(-118.2591172257, 34.0285863341)",2024-03-08 18:18:30+00:00,,I-10 E,E Washington Blvd,Feature
Road Closed,"(-118.2576406696, 33.8076433575)",2024-02-20 01:01:30+00:00,,E Sepulveda Blvd,E Pacific St,Feature
Road Closed,"(-118.247751365, 33.9901824797)",2024-03-05 15:24:00+00:00,,Compton Ave,Ascot Ave,Feature
Road Closed,"(-118.2470794716, 33.8517804841)",2024-02-20 23:29:00+00:00,,E Helmick St,E Gladwick St,Feature
Unknown,"(-118.2426028648, 33.9415902238)",2022-03-22 17:03:30+00:00,,Graham Ave,Wilmington Ave,Feature
Unknown,"(-118.2390301624, 33.9415311869)",2022-03-22 17:03:30+00:00,,Wilmington Ave,Graham Ave,Feature
Jam,"(-118.2372344235, 33.9803856653)",2024-03-11 05:23:30+00:00,2024-03-11 06:08:30+00:00,E 65th St,S Alameda St / E 67th St,Feature
Road Closed,"(-118.2263231972, 34.0385681811)",2023-09-28 23:50:00+00:00,,S Mission Rd,S Anderson St,Feature
Road Closed,"(-118.2240996459, 34.0390911949)",2023-09-28 23:46:00+00:00,,S Anderson St,S Mission Rd,Feature
Road Closed,"(-118.2238233784, 33.7902478959)",2024-01-22 15:22:00+00:00,,San Gabriel Ave / W 19th St,W Pacific Coast Hwy,Feature
Road Closed,"(-118.2237978974, 33.7912041168)",2024-01-19 16:41:30+00:00,,CA-103/20th St/Terminal Island Fwy (San Gabriel Ave),CA-1/W Pacific Coast Hwy (San Gabriel Ave),Feature
Road Closed,"(-118.2208850184, 34.1154872359)",2024-02-17 08:40:30+00:00,,Oban Dr,Alegre Pl,Feature
Road Closed,"(-118.2182645002, 33.9684458547)",2024-02-28 03:10:30+00:00,,Mountain View Ave,Seville Ave,Feature
Road Closed,"(-118.2224152186, 33.9688843538)",2024-02-28 03:14:30+00:00,,Seville Ave,Mountain View Ave,Feature
Accident,"(-118.217927883, 34.0312497475)",2024-03-11 05:32:00+00:00,,S Soto St (I-5),E 7th St (I-5),Feature
Road Closed,"(-118.2178836265, 33.9709053964)",2024-02-29 12:06:00+00:00,,Mountain View Ave,Seville Ave,Feature
Road Closed,"(-118.2224286297, 33.9713842)",2024-02-29 03:22:00+00:00,,Seville Ave,Mountain View Ave,Feature
Road Closed,"(-118.2176167467, 34.0803355016)",2022-09-01 15:21:18+00:00,,Humboldt St,W Avenue 33,Feature
Road Closed,"(-118.216593484, 34.0837875068)",2022-09-01 15:21:18+00:00,,W Avenue 33,Humboldt St,Feature
Road Closed,"(-118.2171554068, 33.8741487933)",2022-03-22 17:04:00+00:00,,S Acacia Ave (Artesia Blvd),S Alameda St (Artesia Blvd),Feature
Road Closed,"(-118.2155085304, 33.7806536793)",2024-03-08 00:52:32+00:00,,Santa Fe Ave,W Anaheim St / E I St,Feature
Road Closed,"(-118.2154937783, 33.7807797087)",2024-03-10 07:50:30+00:00,,W 9th St (Santa Fe Ave),W Anaheim St (Santa Fe Ave),Feature
Road Closed,"(-118.2145710984, 33.8743177623)",2022-03-22 14:31:30+00:00,,Long Beach Blvd (Artesia Blvd),S Alameda St (Artesia Blvd),Feature
Road Closed,"(-118.2162421146, 33.874164869)",2022-03-22 17:04:00+00:00,,S Alameda St (Artesia Blvd),Long Beach Blvd (Artesia Blvd),Feature
Road Closed,"(-118.214206318, 33.8744008548)",2022-03-22 17:04:00+00:00,,Santa Fe Ave exit [10],E Artesia Blvd,Feature
Road Closed,"(-118.2132206061, 33.7800233204)",2024-03-09 20:36:00+00:00,,I-710/Pico Ave (W 9th St),Santa Fe Ave (W 9th St),Feature
Jam,"(-118.2072567144, 33.7654120187)",2024-03-11 05:46:00+00:00,2024-03-11 06:08:30+00:00,S Harbor Scenic Dr N,Long Beach-Lakewood,Feature
Road Closed,"(-118.2058096626, 33.7772566673)",2024-01-30 00:40:30+00:00,,Shoreline Dr W,Santa Fe Ave,Feature
Road Closed,"(-118.1985448995, 34.0592922707)",2024-03-09 17:14:29+00:00,2024-03-12 06:59:00+00:00,Ricardo St,N Soto St,Feature
Jam,"(-118.1975216368, 33.7953038965)",2024-03-11 05:43:00+00:00,2024-03-11 06:08:30+00:00,Eucalyptus Ave,Daisy Ave,Feature
Road Closed,"(-118.1965976158, 34.0214596843)",2024-02-27 17:10:30+00:00,,Indiana St exit [132],Indiana St exit [132],Feature
Accident,"(-118.193302522, 33.894520159)",2024-03-11 05:35:00+00:00,,E Alondra Blvd (S Atlantic Ave),E Compton Blvd (S Atlantic Ave),Feature
Road Closed,"(-118.1905814209, 33.7704974954)",2024-01-16 09:39:08+00:00,,E 3rd St,E 4th St,Feature
Road Closed,"(-118.1870167652, 33.7729396154)",2024-02-09 15:39:00+00:00,,Atlantic Ave,E 6th St / Elm Ave,Feature
Road Closed,"(-118.1876645186, 33.7729409392)",2024-03-07 08:42:00+00:00,,E 6th St / Elm Ave,Atlantic Ave,Feature
Road Closed,"(-118.1860766509, 34.1167116238)",2024-02-21 22:01:30+00:00,,York Blvd,Garrison Dr,Feature
Road Closed,"(-118.1867311099, 34.1164112188)",2024-02-21 21:57:30+00:00,,Garrison Dr,York Blvd,Feature
Road Closed,"(-118.1779066422, 34.132492455)",2024-03-09 11:00:30+00:00,,Avon Ave,Avenue 64,Feature
Road Works,"(-118.1767506102, 34.1247984951)",2024-02-21 21:42:00+00:00,,York Blvd (Avenue 64),La Loma Rd (Avenue 64),Feature
Road Closed,"(-118.1764931181, 34.1269590359)",2024-01-18 23:01:00+00:00,,Avenue 64,Brentnal Rd,Feature
